"beg_date","count(*)"
"2009-03-01","10818"
"2009-04-01","9423"
"2009-05-01","10034"
"2009-06-01","35430"
"2009-07-01","9302"
"2009-08-01","10219"
"2009-09-01","11969"
"2009-10-01","15776"
"2009-11-01","10485"
"2009-12-01","7678"
"2010-01-01","10975"
"2010-02-01","8508"
"2010-03-01","10737"
"2010-04-01","10370"
"2010-05-01","9803"
"2010-06-01","10451"
"2010-07-01","10288"
"2010-08-01","10926"
"2010-09-01","9166"
"2010-10-01","8479"
"2010-11-01","10840"
"2010-12-01","7421"
"2011-01-01","14842"
"2011-02-01","8463"
"2011-03-01","9922"
"2011-04-01","8812"
"2011-05-01","9497"
"2011-06-01","9562"
"2011-07-01","8899"
"2011-08-01","12404"
"2011-09-01","10589"
"2011-10-01","10062"
"2011-11-01","8793"
"2011-12-01","6995"
"2012-01-01","12404"
"2012-02-01","8739"
"2012-03-01","8518"
"2012-04-01","8615"
"2012-05-01","9752"
"2012-06-01","9135"
"2012-07-01","10002"
"2012-08-01","13098"
"2012-09-01","10979"
"2012-10-01","27043"
"2012-11-01","8388"
"2012-12-01","6612"
"2013-01-01","9851"
"2013-02-01","8623"
"2013-03-01","8090"
"2013-04-01","8386"
"2013-05-01","9788"
"2013-06-01","8596"
"2013-07-01","9317"
"2013-08-01","11421"
"2013-09-01","9976"
"2013-10-01","9174"
"2013-11-01","8809"
"2013-12-01","7195"
"2014-01-01","9199"
"2014-02-01","7413"
"2014-03-01","8517"
"2014-04-01","8302"
"2014-05-01","8834"
"2014-06-01","8998"
"2014-07-01","9159"
"2014-08-01","11478"
"2014-09-01","10391"
"2014-10-01","9642"
"2014-11-01","8076"
"2014-12-01","7468"
"2015-01-01","10381"
"2015-02-01","7348"
"2015-03-01","8903"
"2015-04-01","8407"
"2015-05-01","8107"
"2015-06-01","9134"
"2015-07-01","8728"
"2015-08-01","10782"
"2015-09-01","9001"
"2015-10-01","8524"
"2015-11-01","6544"
"2015-12-01","1014"
